"Year","IMD2019 NIMDM2017 SIMD2012 2016 2020 WIMD2019","Age group","Domicile","Gender","Accepted applicants","Population estimate","Entry rate"
"2019","Quintile 1","18","Wales","Man","460","3740","0.124"
"2020","Quintile 1","18","Wales","Man","470","3630","0.128"
"2021","Quintile 1","18","Wales","Man","550","3700","0.149"
"2022","Quintile 1","18","Wales","Man","570","3760","0.152"
"2023","Quintile 1","18","Wales","Man","570","3890","0.146"
"2024","Quintile 1","18","Wales","Man","530","3950","0.135"
"2015","Quintile 2","18","Northern Ireland","Man","550","2640","0.20800000000000002"
"2016","Quintile 2","18","Northern Ireland","Man","600","2620","0.23"
"2017","Quintile 2","18","Northern Ireland","Man","590","2590","0.228"
"2018","Quintile 2","18","Northern Ireland","Man","520","2530","0.20700000000000002"
"2019","Quintile 2","18","Northern Ireland","Man","540","2420","0.225"
"2020","Quintile 2","18","Northern Ireland","Man","620","2400","0.256"
"2021","Quintile 2","18","Northern Ireland","Man","710","2410","0.293"
"2022","Quintile 2","18","Northern Ireland","Man","670","2490","0.268"
"2023","Quintile 2","18","Northern Ireland","Man","670","2530","0.266"
"2024","Quintile 2","18","Northern Ireland","Man","590","2540","0.233"
"2015","Quintile 2","18","England","Man","13130","65190","0.201"
"2016","Quintile 2","18","England","Man","13560","63710","0.213"
"2017","Quintile 2","18","England","Man","13950","63110","0.221"
"2018","Quintile 2","18","England","Man","13860","61950","0.224"
"2019","Quintile 2","18","England","Man","14280","60620","0.23600000000000002"
"2020","Quintile 2","18","England","Man","14910","60220","0.248"
"2021","Quintile 2","18","England","Man","17110","62350","0.274"
"2022","Quintile 2","18","England","Man","16980","63270","0.268"
"2023","Quintile 2","18","England","Man","17010","65780","0.259"
"2024","Quintile 2","18","England","Man","17440","66910","0.261"
"2015","Quintile 2","18","Scotland","Man","700","5660","0.124"
"2016","Quintile 2","18","Scotland","Man","690","5510","0.125"
"2017","Quintile 2","18","Scotland","Man","720","5530","0.131"
"2018","Quintile 2","18","Scotland","Man","720","5370","0.134"
"2019","Quintile 2","18","Scotland","Man","640","5120","0.125"
"2020","Quintile 2","18","Scotland","Man","640","5140","0.125"
"2021","Quintile 2","18","Scotland","Man","750","5290","0.14200000000000002"
"2022","Quintile 2","18","Scotland","Man","840","5400","0.155"
"2023","Quintile 2","18","Scotland","Man","860","5470","0.156"
"2024","Quintile 2","18","Scotland","Man","880","5660","0.156"
"2015","Quintile 2","18","Wales","Man","620","3940","0.158"
"2016","Quintile 2","18","Wales","Man","630","3550","0.178"
"2017","Quintile 2","18","Wales","Man","610","3620","0.169"
"2018","Quintile 2","18","Wales","Man","620","3550","0.17500000000000002"
"2019","Quintile 2","18","Wales","Man","590","3400","0.17200000000000001"
"2020","Quintile 2","18","Wales","Man","600","3280","0.182"
"2021","Quintile 2","18","Wales","Man","640","3400","0.188"
"2022","Quintile 2","18","Wales","Man","630","3400","0.184"
"2023","Quintile 2","18","Wales","Man","600","3590","0.166"
"2024","Quintile 2","18","Wales","Man","590","3620","0.162"
"2015","Quintile 3","18","Northern Ireland","Man","680","2700","0.251"
"2016","Quintile 3","18","Northern Ireland","Man","670","2670","0.251"
"2017","Quintile 3","18","Northern Ireland","Man","690","2640","0.263"
"2018","Quintile 3","18","Northern Ireland","Man","630","2560","0.246"
"2019","Quintile 3","18","Northern Ireland","Man","610","2420","0.251"
"2020","Quintile 3","18","Northern Ireland","Man","710","2400","0.295"
"2021","Quintile 3","18","Northern Ireland","Man","870","2400","0.363"
"2022","Quintile 3","18","Northern Ireland","Man","770","2480","0.311"
"2023","Quintile 3","18","Northern Ireland","Man","760","2510","0.305"
"2024","Quintile 3","18","Northern Ireland","Man","730","2520","0.28700000000000003"
"2015","Quintile 3","18","England","Man","15700","62870","0.25"
"2016","Quintile 3","18","England","Man","16230","61780","0.263"
"2017","Quintile 3","18","England","Man","16340","60480","0.27"
"2018","Quintile 3","18","England","Man","16060","59230","0.271"
"2019","Quintile 3","18","England","Man","16360","57300","0.28600000000000003"
"2020","Quintile 3","18","England","Man","16240","56440","0.28800000000000003"
"2021","Quintile 3","18","England","Man","18460","58600","0.315"
"2022","Quintile 3","18","England","Man","19000","60610","0.314"
"2023","Quintile 3","18","England","Man","18560","62020","0.299"
"2024","Quintile 3","18","England","Man","18590","62680","0.297"
"2015","Quintile 3","18","Scotland","Man","1060","6110","0.17400000000000002"
"2016","Quintile 3","18","Scotland","Man","1030","5900","0.17400000000000002"
"2017","Quintile 3","18","Scotland","Man","990","5590","0.178"
"2018","Quintile 3","18","Scotland","Man","980","5260","0.186"
"2019","Quintile 3","18","Scotland","Man","880","5200","0.169"
"2020","Quintile 3","18","Scotland","Man","950","5090","0.187"
"2021","Quintile 3","18","Scotland","Man","1080","5310","0.20400000000000001"
"2022","Quintile 3","18","Scotland","Man","1110","5410","0.20600000000000002"
"2023","Quintile 3","18","Scotland","Man","1020","5460","0.188"
"2024","Quintile 3","18","Scotland","Man","1060","5480","0.193"
"2015","Quintile 3","18","Wales","Man","740","3630","0.20500000000000002"
