"Year","POLAR4 Quintile","Age group","Domicile","Gender","Accepted applicants","Population estimate","Entry rate"
"2023","Quintile 2","18","Wales","Woman","1360","4360","0.311"
"2024","Quintile 2","18","Wales","Woman","1320","4320","0.305"
"2015","Quintile 3","18","Northern Ireland","Woman","760","2210","0.341"
"2016","Quintile 3","18","Northern Ireland","Woman","760","2180","0.34700000000000003"
"2017","Quintile 3","18","Northern Ireland","Woman","840","2160","0.388"
"2018","Quintile 3","18","Northern Ireland","Woman","730","2030","0.359"
"2019","Quintile 3","18","Northern Ireland","Woman","770","2000","0.385"
"2020","Quintile 3","18","Northern Ireland","Woman","900","1990","0.452"
"2021","Quintile 3","18","Northern Ireland","Woman","940","2000","0.46900000000000003"
"2022","Quintile 3","18","Northern Ireland","Woman","900","2020","0.446"
"2023","Quintile 3","18","Northern Ireland","Woman","940","2050","0.457"
"2024","Quintile 3","18","Northern Ireland","Woman","970","2090","0.462"
"2015","Quintile 3","18","England","Woman","20740","60880","0.341"
"2016","Quintile 3","18","England","Woman","20980","59570","0.352"
"2017","Quintile 3","18","England","Woman","21260","58830","0.361"
"2018","Quintile 3","18","England","Woman","20660","57550","0.359"
"2019","Quintile 3","18","England","Woman","21180","56320","0.376"
"2020","Quintile 3","18","England","Woman","21740","55520","0.391"
"2021","Quintile 3","18","England","Woman","24270","56520","0.429"
"2022","Quintile 3","18","England","Woman","24000","58520","0.41000000000000003"
"2023","Quintile 3","18","England","Woman","23780","60080","0.396"
"2024","Quintile 3","18","England","Woman","24010","60920","0.394"
"2015","Quintile 3","18","Scotland","Woman","1400","5900","0.23700000000000002"
"2016","Quintile 3","18","Scotland","Woman","1430","5960","0.23900000000000002"
"2017","Quintile 3","18","Scotland","Woman","1450","5600","0.259"
"2018","Quintile 3","18","Scotland","Woman","1390","5500","0.253"
"2019","Quintile 3","18","Scotland","Woman","1460","5340","0.273"
"2020","Quintile 3","18","Scotland","Woman","1400","5330","0.263"
"2021","Quintile 3","18","Scotland","Woman","1660","5510","0.302"
"2022","Quintile 3","18","Scotland","Woman","1660","5560","0.299"
"2023","Quintile 3","18","Scotland","Woman","1520","5720","0.265"
"2024","Quintile 3","18","Scotland","Woman","1700","5710","0.298"
"2015","Quintile 3","18","Wales","Woman","1380","4030","0.342"
"2016","Quintile 3","18","Wales","Woman","1340","3920","0.341"
"2017","Quintile 3","18","Wales","Woman","1410","3920","0.359"
"2018","Quintile 3","18","Wales","Woman","1330","3710","0.358"
"2019","Quintile 3","18","Wales","Woman","1270","3540","0.359"
"2020","Quintile 3","18","Wales","Woman","1280","3480","0.369"
"2021","Quintile 3","18","Wales","Woman","1500","3600","0.417"
"2022","Quintile 3","18","Wales","Woman","1440","3700","0.39"
"2023","Quintile 3","18","Wales","Woman","1380","3920","0.352"
"2024","Quintile 3","18","Wales","Woman","1350","3660","0.369"
"2015","Quintile 4","18","Northern Ireland","Woman","1200","2820","0.423"
"2016","Quintile 4","18","Northern Ireland","Woman","1210","2760","0.438"
"2017","Quintile 4","18","Northern Ireland","Woman","1160","2720","0.424"
"2018","Quintile 4","18","Northern Ireland","Woman","1090","2560","0.424"
"2019","Quintile 4","18","Northern Ireland","Woman","1140","2500","0.454"
"2020","Quintile 4","18","Northern Ireland","Woman","1230","2480","0.495"
"2021","Quintile 4","18","Northern Ireland","Woman","1360","2500","0.545"
"2022","Quintile 4","18","Northern Ireland","Woman","1320","2510","0.528"
"2023","Quintile 4","18","Northern Ireland","Woman","1370","2540","0.538"
"2024","Quintile 4","18","Northern Ireland","Woman","1280","2630","0.486"
"2015","Quintile 4","18","England","Woman","24660","63100","0.391"
"2016","Quintile 4","18","England","Woman","25160","62110","0.405"
"2017","Quintile 4","18","England","Woman","25560","61910","0.41300000000000003"
"2018","Quintile 4","18","England","Woman","25150","60230","0.418"
"2019","Quintile 4","18","England","Woman","25610","59980","0.427"
"2020","Quintile 4","18","England","Woman","26390","58880","0.448"
"2021","Quintile 4","18","England","Woman","29260","60510","0.484"
"2022","Quintile 4","18","England","Woman","29030","61760","0.47000000000000003"
"2023","Quintile 4","18","England","Woman","28610","63400","0.451"
"2024","Quintile 4","18","England","Woman","29080","63930","0.455"
"2015","Quintile 4","18","Scotland","Woman","2010","6630","0.302"
"2016","Quintile 4","18","Scotland","Woman","2010","6490","0.309"
"2017","Quintile 4","18","Scotland","Woman","2050","6320","0.323"
"2018","Quintile 4","18","Scotland","Woman","2090","6200","0.337"
"2019","Quintile 4","18","Scotland","Woman","1930","5890","0.328"
"2020","Quintile 4","18","Scotland","Woman","2020","5810","0.34800000000000003"
"2021","Quintile 4","18","Scotland","Woman","2340","5930","0.394"
"2022","Quintile 4","18","Scotland","Woman","2300","6130","0.374"
"2023","Quintile 4","18","Scotland","Woman","2190","6220","0.352"
"2024","Quintile 4","18","Scotland","Woman","2280","6440","0.353"
"2015","Quintile 4","18","Wales","Woman","1210","2920","0.41500000000000004"
"2016","Quintile 4","18","Wales","Woman","1090","2800","0.39"
"2017","Quintile 4","18","Wales","Woman","1090","2680","0.40700000000000003"
"2018","Quintile 4","18","Wales","Woman","1120","2710","0.41400000000000003"
"2019","Quintile 4","18","Wales","Woman","1090","2570","0.424"
"2020","Quintile 4","18","Wales","Woman","1080","2520","0.427"
"2021","Quintile 4","18","Wales","Woman","1190","2520","0.47200000000000003"
"2022","Quintile 4","18","Wales","Woman","1210","2640","0.456"
"2023","Quintile 4","18","Wales","Woman","1130","2610","0.433"
"2024","Quintile 4","18","Wales","Woman","1190","2650","0.449"
"2015","Quintile 5","18","Northern Ireland","Woman","1730","3340","0.518"
"2016","Quintile 5","18","Northern Ireland","Woman","1800","3270","0.552"
"2017","Quintile 5","18","Northern Ireland","Woman","1750","3220","0.544"
"2018","Quintile 5","18","Northern Ireland","Woman","1610","3030","0.532"
"2019","Quintile 5","18","Northern Ireland","Woman","1550","2970","0.522"
"2020","Quintile 5","18","Northern Ireland","Woman","1810","2960","0.613"
"2021","Quintile 5","18","Northern Ireland","Woman","1920","2980","0.645"
"2022","Quintile 5","18","Northern Ireland","Woman","1940","3020","0.641"
"2023","Quintile 5","18","Northern Ireland","Woman","1850","3070","0.604"
"2024","Quintile 5","18","Northern Ireland","Woman","1850","3120","0.594"
"2015","Quintile 5","18","England","Woman","33560","69510","0.483"
"2016","Quintile 5","18","England","Woman","34650","69590","0.498"
"2017","Quintile 5","18","England","Woman","34710","69120","0.502"
"2018","Quintile 5","18","England","Woman","34590","68370","0.506"
"2019","Quintile 5","18","England","Woman","34790","67760","0.513"
"2020","Quintile 5","18","England","Woman","35540","66280","0.536"
"2021","Quintile 5","18","England","Woman","40330","69590","0.58"
"2022","Quintile 5","18","England","Woman","39560","71450","0.554"
"2023","Quintile 5","18","England","Woman","39270","72720","0.54"
"2024","Quintile 5","18","England","Woman","39790","73270","0.543"
"2015","Quintile 5","18","Scotland","Woman","3800","9020","0.421"
"2016","Quintile 5","18","Scotland","Woman","3870","8860","0.437"
"2017","Quintile 5","18","Scotland","Woman","3800","8700","0.437"
"2018","Quintile 5","18","Scotland","Woman","3810","8450","0.451"
"2019","Quintile 5","18","Scotland","Woman","3790","8230","0.46"
"2020","Quintile 5","18","Scotland","Woman","3770","8120","0.464"
"2021","Quintile 5","18","Scotland","Woman","4260","8470","0.503"
"2022","Quintile 5","18","Scotland","Woman","4180","8700","0.48"
"2023","Quintile 5","18","Scotland","Woman","4250","8810","0.482"
