"Year","IMD2019 NIMDM2017 SIMD2012 2016 2020 WIMD2019","Age group","Domicile","Gender","Accepted applicants","Population estimate","Entry rate"
"2018","Quintile 4","18","Northern Ireland","Woman","920","2300","0.401"
"2019","Quintile 4","18","Northern Ireland","Woman","980","2240","0.437"
"2020","Quintile 4","18","Northern Ireland","Woman","1210","2230","0.543"
"2021","Quintile 4","18","Northern Ireland","Woman","1210","2230","0.539"
"2022","Quintile 4","18","Northern Ireland","Woman","1210","2260","0.536"
"2023","Quintile 4","18","Northern Ireland","Woman","1220","2290","0.533"
"2024","Quintile 4","18","Northern Ireland","Woman","1150","2340","0.489"
"2015","Quintile 4","18","England","Woman","21170","59300","0.357"
"2016","Quintile 4","18","England","Woman","21470","58470","0.367"
"2017","Quintile 4","18","England","Woman","21380","58030","0.368"
"2018","Quintile 4","18","England","Woman","21020","56300","0.373"
"2019","Quintile 4","18","England","Woman","20660","55030","0.375"
"2020","Quintile 4","18","England","Woman","21750","53500","0.406"
"2021","Quintile 4","18","England","Woman","25160","55450","0.454"
"2022","Quintile 4","18","England","Woman","24150","57440","0.42"
"2023","Quintile 4","18","England","Woman","23360","58400","0.4"
"2024","Quintile 4","18","England","Woman","24190","58770","0.41200000000000003"
"2015","Quintile 4","18","Scotland","Woman","2050","6160","0.333"
"2016","Quintile 4","18","Scotland","Woman","2070","6090","0.34"
"2017","Quintile 4","18","Scotland","Woman","2070","5620","0.368"
"2018","Quintile 4","18","Scotland","Woman","2080","5510","0.377"
"2019","Quintile 4","18","Scotland","Woman","2030","5230","0.388"
"2020","Quintile 4","18","Scotland","Woman","2030","5300","0.382"
"2021","Quintile 4","18","Scotland","Woman","2250","5560","0.404"
"2022","Quintile 4","18","Scotland","Woman","2410","5610","0.43"
"2023","Quintile 4","18","Scotland","Woman","2410","5880","0.40900000000000003"
"2024","Quintile 4","18","Scotland","Woman","2430","5980","0.406"
"2015","Quintile 4","18","Wales","Woman","1320","3580","0.368"
"2016","Quintile 4","18","Wales","Woman","1300","3520","0.369"
"2017","Quintile 4","18","Wales","Woman","1220","3530","0.34500000000000003"
"2018","Quintile 4","18","Wales","Woman","1230","3300","0.374"
"2019","Quintile 4","18","Wales","Woman","1210","3220","0.376"
"2020","Quintile 4","18","Wales","Woman","1160","3050","0.38"
"2021","Quintile 4","18","Wales","Woman","1360","3100","0.439"
"2022","Quintile 4","18","Wales","Woman","1320","3180","0.41400000000000003"
"2023","Quintile 4","18","Wales","Woman","1230","3270","0.376"
"2024","Quintile 4","18","Wales","Woman","1300","3190","0.40700000000000003"
"2015","Quintile 5","18","Northern Ireland","Woman","950","2100","0.451"
"2016","Quintile 5","18","Northern Ireland","Woman","990","2040","0.486"
"2017","Quintile 5","18","Northern Ireland","Woman","940","2010","0.47000000000000003"
"2018","Quintile 5","18","Northern Ireland","Woman","910","1890","0.48"
"2019","Quintile 5","18","Northern Ireland","Woman","920","1840","0.496"
"2020","Quintile 5","18","Northern Ireland","Woman","1020","1830","0.559"
"2021","Quintile 5","18","Northern Ireland","Woman","1130","1850","0.609"
"2022","Quintile 5","18","Northern Ireland","Woman","1140","1880","0.604"
"2023","Quintile 5","18","Northern Ireland","Woman","1020","1910","0.534"
"2024","Quintile 5","18","Northern Ireland","Woman","1070","1950","0.55"
"2015","Quintile 5","18","England","Woman","26530","62780","0.423"
"2016","Quintile 5","18","England","Woman","26780","62250","0.43"
"2017","Quintile 5","18","England","Woman","26990","62090","0.435"
"2018","Quintile 5","18","England","Woman","26570","60770","0.437"
