"Year","POLAR4 Quintile","Age group","Domicile","Gender","Accepted applicants","Population estimate","Entry rate"
"2024","Quintile 5","18","Northern Ireland","Woman","1720","3120","0.551"
"2015","Quintile 5","18","England","Woman","29290","69510","0.421"
"2016","Quintile 5","18","England","Woman","29920","69590","0.43"
"2017","Quintile 5","18","England","Woman","29770","69120","0.431"
"2018","Quintile 5","18","England","Woman","29970","68370","0.438"
"2019","Quintile 5","18","England","Woman","29500","67760","0.435"
"2020","Quintile 5","18","England","Woman","31320","66280","0.47300000000000003"
"2021","Quintile 5","18","England","Woman","37490","69590","0.539"
"2022","Quintile 5","18","England","Woman","35710","71450","0.5"
"2023","Quintile 5","18","England","Woman","34540","72720","0.47500000000000003"
"2024","Quintile 5","18","England","Woman","36050","73270","0.492"
"2015","Quintile 5","18","Scotland","Woman","3760","9020","0.41600000000000004"
"2016","Quintile 5","18","Scotland","Woman","3830","8860","0.432"
"2017","Quintile 5","18","Scotland","Woman","3740","8700","0.43"
"2018","Quintile 5","18","Scotland","Woman","3780","8450","0.447"
"2019","Quintile 5","18","Scotland","Woman","3750","8230","0.456"
"2020","Quintile 5","18","Scotland","Woman","3740","8120","0.461"
"2021","Quintile 5","18","Scotland","Woman","4030","8470","0.47600000000000003"
"2022","Quintile 5","18","Scotland","Woman","4160","8700","0.47700000000000004"
"2023","Quintile 5","18","Scotland","Woman","4210","8810","0.47800000000000004"
"2024","Quintile 5","18","Scotland","Woman","4240","8930","0.47500000000000003"
"2015","Quintile 5","18","Wales","Woman","1030","2270","0.454"
"2016","Quintile 5","18","Wales","Woman","1130","2350","0.482"
"2017","Quintile 5","18","Wales","Woman","1000","2250","0.444"
"2018","Quintile 5","18","Wales","Woman","1020","2100","0.487"
"2019","Quintile 5","18","Wales","Woman","1010","2010","0.504"
"2020","Quintile 5","18","Wales","Woman","1060","2070","0.51"
"2021","Quintile 5","18","Wales","Woman","1210","2030","0.596"
"2022","Quintile 5","18","Wales","Woman","1110","2090","0.532"
"2023","Quintile 5","18","Wales","Woman","1120","2170","0.518"
"2024","Quintile 5","18","Wales","Woman","1170","2130","0.546"
"2015","Quintile 1","18","Northern Ireland","Man","220","2380","0.092"
